Ticker1,Ticker2,Name
ACH.N,ACH,中国铝业
ADAG.O,ADAG,天演药业
AGMH.O,AGMH,安高盟
AIH.O,AIH,医美国际
AIHS.O,AIHS,森淼科技
AMBO.A,AMBO,安博教育
ANPC.O,ANPC,安派科
ANTE.O,ANTE,悦航阳光网络科技
API.O,API,声网
APM.O,APM,知临集团
ATCO.N,ATCO,ATLAS
ATHM.N,ATHM,汽车之家
ATIF.O,ATIF,亚洲时代
BABA.N,BABA,阿里巴巴
BAOS.O,BAOS,宝盛科技
BEDU.N,BEDU,博实乐
BEKE.N,BEKE,贝壳
BEST.N,BEST,百世集团
BGNE.O,BGNE,百济神州
BHAT.O,BHAT,蓝帽子
BIDU.O,BIDU,百度
BILI.O,BILI,哔哩哔哩
BIMI.O,BIMI,博琪国际医药
BLCT.O,BLCT,蓝城兄弟
BNR.O,BNR,燃石医学
BON.O,BON,天美生物
BQ.N,BQ,波奇网
BRQS.O,BRQS,播思科技
BTB.O,BTB,BIT BROTHER
BTBT.O,BTBT,比特数字
BTCM.N,BTCM,比特矿业
BYSI.O,BYSI,万春药业
BZ.O,BZ,BOSS直聘
BZUN.O,BZUN,宝尊电商
CAAS.O,CAAS,中汽系统
CAN.O,CAN,嘉楠科技
CANG.N,CANG,灿谷
CBAT.O,CBAT,CBAK能源科技有限公司
CCM.N,CCM,泰和诚医疗
CCNC.O,CCNC,码链新大陆
CD.O,CD,秦淮数据
CEA.N,CEA,东方航空
CGA.N,CGA,中国绿色农业
CHNR.O,CHNR,中国天然资源
CIH.O,CIH,中指控股
CJJD.O,CJJD,九洲大药房
CLEU.O,CLEU,华夏博雅
CLPS.O,CLPS,华钦科技
CLWT.O,CLWT,欧陆科仪
CMCM.N,CMCM,猎豹移动
CNET.O,CNET,中网在线
CNEY.O,CNEY,中北能
CNF.N,CNF,泛华金融
CNTB.O,CNTB,康乃德
CO.N,CO,国际脐带血库
COE.N,COE,无忧英语
CPHI.A,CPHI,惠普森医药
CPOP.O,CPOP,普普文化
CREG.O,CREG,中国循环能源
CSCW.O,CSCW,彩色星球科技
CSIQ.O,CSIQ,阿特斯太阳能
CTK.N,CTK,触宝
CYD.N,CYD,玉柴国际
DADA.O,DADA,达达集团
DAO.N,DAO,有道
DDL.N,DDL,叮咚买菜
DIDI.N,DIDI,滴滴出行
DOGZ.O,DOGZ,多尼斯
DOYU.O,DOYU,斗鱼
DQ.N,DQ,大全新能源
DSWL.O,DSWL,德斯维尔工业
DTSS.O,DTSS,数海信息
DUO.O,DUO,房多多
DXF.A,DXF,敦信金融
EBON.O,EBON,亿邦通信
EDTK.O,EDTK,王道科技
EDU.N,EDU,新东方
EH.O,EH,亿航智能
EJH.O,EJH,E家快服
EM.O,EM,怪兽充电
EVK.O,EVK,华瑞服装
EZGO.O,EZGO,易电行
FAMI.O,FAMI,农米良品
FANH.O,FANH,泛华金控
FEDU.N,FEDU,四季教育
FENG.N,FENG,凤凰新媒体
FFHL.O,FFHL,富维薄膜
FHS.N,FHS,第一高中
FINV.N,FINV,信也科技
FTFT.O,FTFT,未来金融科技
FUTU.O,FUTU,富途控股
GDS.O,GDS,万国数据
GHG.N,GHG,格林酒店
GLG.O,GLG,铜道
GOTU.N,GOTU,高途集团
GRCL.O,GRCL,亘喜生物
GSMG.O,GSMG,耀世星辉
GTEC.O,GTEC,格陵兰科技
GTH.O,GTH,泛生子
GURE.O,GURE,海湾资源
HAPP.O,HAPP,幸福来
HCM.O,HCM,和黄医药
HGSH.O,HGSH,汉广厦房地产
HIHO.O,HIHO,骇维金属加工
HKIB.N,HKIB,尚乘国际
HLG.O,HLG,海亮教育
HNP.N,HNP,华能电力
HOLI.O,HOLI,和利时自动化
HTHT.O,HTHT,华住
HUDI.O,HUDI,华迪国际
HUIZ.O,HUIZ,慧择
HUSN.O,HUSN,圣盈信管理咨询
HUYA.N,HUYA,虎牙直播
HX.O,HX,小白买买
HYW.O,HYW,海银财富
ICLK.O,ICLK,爱点击
IDEX.O,IDEX,优点互动
IFBD.O,IFBD,讯鸟软件
IH.N,IH,洪恩教育
IMAB.O,IMAB,天境生物
IQ.O,IQ,爱奇艺
ITP.A,ITP,互联网科技包装
JD.O,JD,京东
JFIN.O,JFIN,嘉银金科
JFU.O,JFU,玖富
JG.O,JG,极光
JKS.N,JKS,晶科能源
JOBS.O,JOBS,前程无忧
JP.N,JP,钜派投资
JRJC.O,JRJC,金融界
JT.N,JT,简普科技
JWEL.O,JWEL,聚好商城
JZXN.O,JZXN,九紫新能
KC.O,KC,金山云
KNDI.O,KNDI,康迪车业
KRKR.O,KRKR,36氪
KUKE.N,KUKE,库客音乐
KXIN.O,KXIN,开心汽车
LAIX.N,LAIX,流利说
LEGN.O,LEGN,传奇生物
LEJU.N,LEJU,乐居
LFC.N,LFC,中国人寿
LGHL.O,LGHL,狮子集团控股
LI.O,LI,理想汽车
LIAN.O,LIAN,联拓生物
LITB.N,LITB,兰亭集势
LIZI.O,LIZI,荔枝
LKCO.O,LKCO,箩筐技术
LLL.O,LLL,金铉品旅
LU.N,LU,陆金所控股
LX.O,LX,乐信
LXEH.O,LXEH,丽翔教育
LYL.O,LYL,龙运国际
MARK.O,MARK,REMARK
MDJH.O,MDJH,明大嘉和
METX.O,METX,美联国际教育
MF.O,MF,每日优鲜
MFH.O,MFH,MERCURITY FINTECH
MKD.O,MKD,摩贝
MLCO.O,MLCO,新濠博亚娱乐
MNSO.N,MNSO,名创优品
MOGU.N,MOGU,蘑菇街
MOHO.O,MOHO,易恒健康
MOMO.O,MOMO,挚文集团
MOXC.O,MOXC,魔线
MSC.N,MSC,新濠影汇
MTC.O,MTC,海川证券
NCTY.O,NCTY,第九城市
NEGG.O,NEGG,新蛋
NEW.N,NEW,朴新教育
NFH.N,NFH,新风医疗
NIO.N,NIO,蔚来
NISN.O,NISN,宁圣国际
NIU.O,NIU,小牛电动
NOAH.N,NOAH,诺亚财富
NTES.O,NTES,网易
NTP.N,NTP,南太地产
NVFY.O,NVFY,诺华家具
OCFT.N,OCFT,金融壹账通
OCG.O,OCG,东方文化
OG.N,OG,洋葱
OIIM.O,OIIM,凹凸科技
ONE.N,ONE,精锐教育
PBTS.O,PBTS,宏桥高科
PDD.O,PDD,拼多多
PETZ.O,PETZ,天地荟
PHCF.O,PHCF,普惠财富
PLAG.A,PLAG,美国绿星球
PLIN.O,PLIN,香态食品
PME.O,PME,平潭海洋实业
PT.O,PT,品钛
PTR.N,PTR,中石油
PUYI.O,PUYI,普益财富
QD.N,QD,趣店
QFIN.O,QFIN,360数科
QH.O,QH,趣活科技
QK.O,QK,青客
QLI.O,QLI,祁连国际
QTT.O,QTT,趣头条
RAAS.N,RAAS,容联易通
RCON.O,RCON,研控科技
REDU.O,REDU,瑞思学科英语
RENN.N,RENN,人人网
RERE.N,RERE,万物新生
RETO.O,RETO,瑞图生态
RGC.O,RGC,脑再生
RLX.N,RLX,雾芯科技
RYB.N,RYB,红黄蓝
SDH.O,SDH,师董会
SECO.O,SECO,寺库
SEED.O,SEED,奥瑞金种业
SFUN.N,SFUN,房天下
SHI.N,SHI,上石化
SINO.O,SINO,中环球船务
SISI.O,SISI,尚高
SJ.O,SJ,思享无限
SNP.N,SNP,中石化
SNTG.O,SNTG,百达通
SOHU.O,SOHU,搜狐
SOL.N,SOL,瑞能新能源
SOS.N,SOS,SOS
SPI.O,SPI,绿能宝
STG.N,STG,尚德机构
SXTC.O,SXTC,中国苏轩堂药业
SY.O,SY,新氧
TAL.N,TAL,好未来
TANH.O,TANH,碳博士控股
TAOP.O,TAOP,淘屏
TC.O,TC,团车
TCOM.O,TCOM,携程网
TEDU.O,TEDU,达内教育
TIGR.O,TIGR,老虎证券
TIRX.O,TIRX,天睿祥
TKAT.A,TKAT,香港大公文交所
TME.N,TME,腾讯音乐
TOUR.O,TOUR,途牛
TROO.O,TROO,盟军集团
TSP.O,TSP,图森未来
TUYA.N,TUYA,涂鸦智能
UCL.O,UCL,优克联新
UK.O,UK,优客工厂
UPC.O,UPC,大自然药业
UTME.O,UTME,联代科技
UTSI.O,UTSI,UT斯达康
UXIN.O,UXIN,优信
VIOT.O,VIOT,云米科技
VIPS.N,VIPS,唯品会
VNET.O,VNET,世纪互联
WAFU.O,WAFU,华富教育
WB.O,WB,微博
WDH.N,WDH,水滴公司
WEI.N,WEI,微贷网
WIMI.O,WIMI,微美全息
WNW.O,WNW,物农科技
XIN.N,XIN,鑫苑置业
XNET.O,XNET,迅雷
XPEV.N,XPEV,小鹏汽车
XYF.N,XYF,小赢科技
YGMZ.O,YGMZ,盐港明珠
YI.O,YI,1药网
YJ.O,YJ,云集
YMM.N,YMM,满帮集团
YQ.O,YQ,一起教育科技
YRD.N,YRD,宜人金科
YSG.N,YSG,逸仙电商
YUMC.N,YUMC,百胜中国
YY.O,YY,欢聚
ZCMD.O,ZCMD,众巢医学
ZEPP.N,ZEPP,ZEPP HEALTH
ZGYH.O,ZGYH,运鸿控股
ZGYHU.O,ZGYHU,运鸿控股
ZH.N,ZH,知乎
ZKIN.O,ZKIN,正康国际
ZLAB.O,ZLAB,再鼎医药
ZME.N,ZME,掌门教育
ZNH.N,ZNH,南方航空
ZTO.N,ZTO,中通快递
